u,v,weight
1,2,1
2,1,1
1,3,1
3,1,1
2,3,1
3,2,1
1,4,1
4,1,1
2,4,1
4,2,1
3,4,1
4,3,1
1,5,1
5,1,1
1,6,1
6,1,1
1,7,1
7,1,1
5,7,1
7,5,1
6,7,1
7,6,1
1,8,1
8,1,1
2,8,1
8,2,1
3,8,1
8,3,1
4,8,1
8,4,1
1,9,1
9,1,1
3,9,1
9,3,1
3,10,1
10,3,1
1,11,1
11,1,1
5,11,1
11,5,1
6,11,1
11,6,1
1,12,1
12,1,1
1,13,1
13,1,1
4,13,1
13,4,1
1,14,1
14,1,1
2,14,1
14,2,1
3,14,1
14,3,1
4,14,1
14,4,1
6,17,1
17,6,1
7,17,1
17,7,1
1,18,1
18,1,1
2,18,1
18,2,1
1,20,1
20,1,1
2,20,1
20,2,1
1,22,1
22,1,1
2,22,1
22,2,1
24,26,1
26,24,1
25,26,1
26,25,1
3,28,1
28,3,1
